ko,present,past,future,en,type
속이다,속여요,속였어요,속일 거예요,"to deceive, cheat, trick, lie",verb
남다,남아요,남았어요,남을 거예요,"to remain, be leftover, be profitable, ",verb
남기다,남겨요,남겼어요,남길 거예요,"to leave behind, save; make profit",verb
만지다,만져요,만졌어요,만질 거예요,"to touch, feel",verb
닿다,닿아요,닿았어요,닿을 거예요,"to touch, reach, brush; reach arrive (at, in), get to; be in touch (with), attach",verb
건드리다,건드려요,건드렸어요,건드릴 거예요,"to (light) touch, nudge; annoy, provoke; mess around with (sexually)",verb
스치다,스쳐요,스쳤어요,스칠 거예요,"to graze, brush (touch lightly); flash across (one's mind), flicker",verb
털다,털어요,털었어요,털 거예요,"to dust off, bush off, shake off; empty; rob, steal",verb
대다,대요,댔어요,댈 거예요,"to place, put; feel, touch; apply, fix; supply, provide, pay, finance; arrive on time; pull (up/into/over); make excuse; (aux Verb) indicates the repetition of an action in the preceding statement or that the level of the action is extreme",verb
찌르다,찔러요,찔렀어요,찌를 거예요,"to pierce, stab",verb
먹다,먹어요,먹었어요,먹을 거예요,"to eat, drink",verb
먹이다,먹여요,먹였어요,먹일 거예요,"to feed, let someone eat; support; bribe, pay (off); scare, frighten",verb
한턱내다,한턱내요,한턱냈어요,한턱낼 거예요,to treat to a meal or a drink,verb
드시다,드셔요,드셨어요,드실 거예요,"(hon) to eat, drink",verb
잡수시다,잡수셔요,잡수셨어요,잡수실 거예요,to eat (hon.); have (hon.),verb
마시다,마셔요,마셨어요,마실 거예요,to drink,verb
씹다,씹어요,씹었어요,씹을 거예요,"to bite, chew; to speak ill of, belittle; brood",verb
물다,물어요,물었어요,물 거예요,"to bite, snap (at), nip; have something in one's mouth, hold something between one's teeth; pay (for), be fined",verb
배고프다,배고파요,배고팠어요,배고플 거예요,to be hungry,verb
배부르다,배불러요,배불렀어요,배부를 거예요,to have a full stomach,verb
배탈나다,배탈나요,배탈났어요,배탈날 거예요,to have a stomachache,verb
굶다,굶어요,굶었어요,굶을 거예요,"to starve, go hungry, skip a meal",verb
싱겁다,싱거워요,싱거웠어요,싱거울 거예요,"to be bland, flat, flavorless; not salty enough; nonsensical, flippant",verb
맛있다,맛있어요,맛있었어요,맛있을 거예요,to be delicious,verb
맛없다,맛없어요,0,0,to taste bad,verb
맵다,매워요,매웠어요,매울 거예요,"to be spicy, hot; to be intense",verb
달다,달아요,달았어요,달 거예요,"to be sweet, sugary, tasty; to put up, attach, hang up, install; heat up; be impatient; weight, measure; request, ask for",verb
시다,셔요,셨어요,실 거예요,to be sour; feeling a twinge (of pain),verb
굽다,구워요,구웠어요,구울 거예요,"to bake, roast, grill; be curved",verb
볶다,볶아요,볶았어요,밖을 거예요,"to fry, roast, stir-fry; harass, pester",verb
씻다,씻어요,씻었어요,씻을 거예요,to wash ((body),verb
빨다,빨아요,빨았어요,빨 거예요,to wash clothes (laundry); suck (at/on),verb
닦다,닦아요,닦았어요,닦을 거예요,"to wipe, clean, wash, brush; shine; dry; level, smooth; practice, train; cultivate; lay, pave",verb
치우다,치워요,치웠어요,치울 거예요,"to tidy up, clean up, remove, clear away",verb
끝내다,끝내요,끝냈어요,끝낼 거예요,"to finish, end, complete, conclude (actively ending something, affected by will/intention)(needs subject and object)",verb
마치다,마쳐요,마쳤어요,마칠 거예요,"to finish, complete, end, wrap up (longer term commitments that can't be stopped)",verb
그만두다,그만둬요,그만뒀어요,그만둘 거예요,"to stop, cease; leave, quit, give up, abandon (longer term/permanent)(needs an object)",verb
닫다,닫아요,닫았어요,닫을 거예요,"to close, shut, shut down",verb
닫히다,닫혀요,닫혔어요,닫힐 거예요,"to be closed, shut; shut up",verb
덮다,덮어요,덮었어요,덮을 거예요,"to cover, shut, close; hide, conceal, suppress",verb
가리다,가려요,가렸어요,가릴 거예요,"to cover, hide, shield, conceal; distinguish, differentiate; be picky; be shy",verb
감싸다,감싸요,감쌌어요,감쌀 거예요,"to cover, wrap (up), shelter; take sides (with someone)",verb
바르다,발라요,발랐어요,바를 거예요,"to apply, put on, cover, plaster, spread; straight, upright; correct, right; bone, debone",verb
막히다,막혀요,막혔어요,막힐 거예요,"to be blocked, be stopped, clogged, closed",verb
막다,막아요,막았어요,막을 거예요,"to block, close, keep out; stop, prevent, defend; repay",verb
잠그다,잠가요,잠갔어요,잠글 거예요,"to lock, fasten; turn off, shut; submerge; invest",verb
그치다,그쳐요,그쳤어요,그칠 거예요,"to cease, let up (natural phenomena); stop (something stops); end up (something does not progress from a certain state)",verb
멈추다,멈춰요,멈췄어요,멈출 거예요,"to stop (someone/thing), cease, halt, stay still (ongoing movement, operation, action)",verb
말다,말아요,말았어요,말 거예요,"to roll up; quit doing, not do (an action), stop doing (an action that you want to stop)(see 지마세요)",verb
걸다,걸어요,걸었어요,걸을 거예요,"to hang (prevent an object from falling); lock, fasten; arrange; insert; start (a machine); implicate; make a call; order; rich, thick",verb
지우다,지워요,지웠어요,지울 거예요,"to erase, cross out, delete; wash off; have an abortion; load, put something on",verb
없애다,없애요,없앴어요,없앨 거예요,"to remove, get rid of, eliminate, make something not exist; waste, spend (wastefully); kill, murder",verb
자르다,잘라요,잘랐어요,자를 거예요,"to cut (bigger), separate; fire, dismiss; refuse; stop interrupt; declare, assert",verb
잘리다,잘려요,잘렸어요,잘릴 거예요,"to be fired, cut, kicked out, flunked out",verb
베다,베요,벴어요,벨 거예요,"to cut, slash, saw, decapitate; rest one's head on",verb
썰다,썰어요,썰었어요,썰 거예요,"to cut (up into small pieces but bigger and neater than 다지다), chop, slice, dice",verb
끊다,끊어요,끊었어요,끊을 거예요,"to cut off, break off; stop, quit, disconnect, pause",verb
끊어지다,끊어져요,끊어졌어요,끓어질 거예요,"to be cut off, disconnected; lose contact with; expire, die",verb
끊기다,끊겨요,끊겼어요,끊길 거예요,"to be cut off, stopped, broken, disconnected (interchangeable with 끊어지다)",verb
긁다,긁어,긁었어요,긁을 거예요,"to scratch, scrape; squeeze, extort; irritate, provoke",verb
깎다,깎아요,깎았어요,깎을 거예요,"to peel, trim, cut, shave; discount (cut the price); humiliate",verb
까다,까요,깠어요,깔 거예요,"to peel (with hands), strip down; tackle, hit; hatch; deduct; knock (insult)",verb
붓다,부어요,부었어요,부을 거예요,"to pour (into); pay in installments; become swollen, swell (up); be sulky",verb
흘리다,흘려요,흘렸어요,흘릴 거예요,"to spill, shed, leak (tears, blood etc.); show, display; drop, misplace",verb
쏟다,쏟아요,쏟았어요,쏟을 거예요,"to spill, pour; concentrate, devote oneself to; pour out, vent",verb
쏟아지다,쏟아져요,쏟아졌어요,쏟아질 거예요,"to pour, gush (out of); be rushed",verb
깨뜨리다,깨뜨려요,깨뜨렸어요,깨뜨릴 거예요,"(accident) to break, destroy, crash; frustrate, disturb, violate",verb
깨지다,깨져요,깨졌어요,깨질 거예요,"to be broken, get broken; be hurt, injured (broken into many pieces)",verb
부러지다,부러져요,부러졌어요,부러질 거예요,"to break, be broken, fracture, snap off; be clear, perfect (items of length)",verb
부서지다,부서져요,부서졌어요,부서질 거예요,"to break, be broken, smashed, shattered, destroyed (variety of things); become out of order",verb
차이다,차여요,차였어요,차일 거예요,"to be dumped, get kicked",verb
찢다,찢어요,찢었어요,찢을 거예요,"to tear, rip",verb
헤어지다,헤어져요,헤어졌어요,헤어질 거예요,"to break up, part, separate, split",verb
차다,차요,찼어요,찰 거예요,"to kick, jump, dump, ditch, drop; be cold, chilly; be full (of), be filled (with), taken, occupied, full; to wear, put on",verb
채우다,채워요,채웠어요,채울 거예요,"to fill (in/up), pack; meet, make, fulfill, satisfy; lock, fasten, button",verb
파다,파요,팠어요,팔 거예요,"to dig, excavate; carve; concentrate on; remove",verb
열다,열어요,열었어요,열 거예요,to open,verb
열리다,열려요,열렸어요,열릴 거예요,"to be open, be opened; be unlocked; be held, take place",verb
펴다,펴요,폈어요,펼 거예요,"to open, unfold, spread; smooth; straighten, stretch",verb
펼치다,펼쳐요,펼쳤어요,펼칠 거예요,"to open, unroll, outstretch, spread; present (colloquial/swiftly open)",verb
펼쳐지다,펼쳐져요,펼쳐졌어요,펼쳐질 거예요,"to spread, stretch out, unfold (passive)",verb
접다,접어요,접었어요,접을 거예요,to fold,verb
뿌리다,뿌려요,뿌렸어요,뿌릴 거예요,"to sprinkle, spray, scatter; distribute, disperse",verb
번지다,번져요,번졌어요,번질 거예요,"to spread (expanding), run",verb
벌리다,벌려요,벌렸어요,벌릴 거예요,"to open, widen, stretch out (body parts mostly?)",verb
다리다,다려요,다렸어요,다릴 거예요,"to iron, press",verb
켜다,켜요,켰어요,켤 거예요,"to turn on, switch on, light, ignite; saw (cut), play; gulp, guzzle; stretch",verb
켜져있다,켜져있어요,켜져있었어요,켜져있을 거예요,"to be lightened, be on",verb
끄다,꺼요,껐어요,끌 거예요,"to turn off, put out, extinguish; solve",verb
꺼지다,꺼져요,꺼졌어요,꺼질 거예요,"to be extinguished, be turned off, go out, be blown out; sink, fall in, fade, disappear; become hollow, become sunken",verb
커지다,커져요,커졌어요,커질 거예요,"to grow big, expand, increase; become serious",verb
키우다,키워요,키웠어요,키울 거예요,"to grow, bring up, make stronger, keep (you are the person observing the growth)",verb
자라다,자라요,자랐어요,자랄 거예요,"to grow up, grow, be raised, mature",verb
기르다,길러요,길렀어요,기를 거예요,"to raise, look after; grow; train, develop (length/you are putting in the effort to cultivate)",verb
돌보다,돌봐요,돌봤어요,돌볼 거예요,"to look after, take care of",verb
가꾸다,가꿔요,가꿨어요,가꿀 거예요,"to grow, cultivate (plants); take care of, tend; decorate, make oneself look good",verb
피다,펴요,폈어요,필 거예요,"to bloom, blossom, flower; burn; look great",verb
되다,돼요,됐어요,될 거예요,"to become, get, turn into; be possible, done, available; okay",verb
낫다,나아요,나았어요,나을 거예요,"to heal, recover; better (than)",verb
고치다,고쳐요,고쳤어요,고칠 거예요,"to fix, repair",verb
감동시키다,감동시켜요,감동시켰어요,감동시킬 거에요,"to impress, move (someone)",verb
좋아지다,좋아져요,좋아졌어요,좋아질 거예요,"to become good, improve, get better; come to like, become fond of",verb
꾸미다,꾸며요,꾸몄어요,꾸밀 거예요,"to make up, make beautiful, decorate; write up, draw up; invent, fabricate, manufacture; scheme, conspire; modify",verb
곱다,고와요,고왔어요,고울 거예요,"to be pretty, lovely, fair (inner/natural beauty that can include character)",verb
예쁘다,예뻐요,예뻤어요,예쁠 거예요,"to be pretty, beautiful, cute",verb
아름답다,아름다워요,아름다웠어요,아름다울 거예요,to be beautiful (slightly more formal than 예쁘다/can be used in reference to beautiful things that are far away),verb
귀엽다,귀여워요,귀여웠어요,귀여울 거예요,to be cute,verb
밝다,밝아요,밝았어요,밝을 거예요,"to be bright (focus on the amount of light), light; be promising; sharp, keen",verb
밝히다,밝혀요,밝혔어요,밝힐 거예요,"to brighten (up), lighten, turn on a light; clarify, disclose, reveal; stay up; be crazy for; give hope",verb
빛나다,빛나요,빛났어요,빛날 거예요,"to shine, sparkle, twinkle, gleam (subject is the source of the shine); glow (look valuable)",verb
비추다,비춰요,비췄어요,비출 거예요,"to light up, shed light (on); reflect mirror; consider, reflect (on)",verb
어둡다,어두워요,어두웠어요,어두울 거예요,"to be dark, gloomy; not good",verb
짙다,짙어요,짙었어요,짙을 거예요,"to be dark, deep, thick, stronger (than normal things, can't be used for food)",verb
신나다,신나요,신났어요,신날 거예요,"to be excited, become happy; be exciting",verb
설레다,설레요,설렜어요,설렐 거예요,"to flutter, vibrate, fidget; be excited",verb
즐겁다,즐거워요,즐거웠어요,즐거울 거예요,"to be please, happy (about something), something was enjoyable",verb
즐기다,즐겨요,즐겼어요,즐길 거예요,"to enjoy oneself, have fun; enjoy, like, appreciate",verb
반갑다,반가워요,반가웠어요,반가울 거예요,"to be glad, happy, welcome (when you meet someone or see someone/thing that you missed)",verb
기쁘다,기뻐요,기뻤어요,기쁠 거예요,"to be glad, happy, pleased (narrower in scope/focused on something)",verb
슬프다,슬퍼요,슬펐어요,슬플 거예요,to be sad,verb
아쉽다,아쉬워요,아쉬웠어요,아쉬울 거예요,"to be sorry, sad; lacking (feeling when an opportunity is missed)",verb
안타깝다,안타까워요,안타까웠어요,안타까울 거예요,"to be heart-breaking, frustrating, regrettable, too bad, sad, feeling sorry (loss of something material or something that had potential)",verb
기죽다,기죽어요,기죽었어요,기죽을 거예요,"to be discouraged, down",verb
화나다,화나요,화났어요,화날 거예요,"to be angry, mad",verb
화내다,화내요,화냈어요,화낼 거예요,"to get angry, be mad at, vent one's anger",verb
울다,울어요,울었어요,울 거예요,to cry; wrinkle,verb
울리다,울려요,울렸어요,울릴 거예요,"to ring, sound, echo, go off; make someone cry",verb
껄끄럽다,껄끄러워요,껄끄러웠어요,껄끄러울 거예요,"to be uncomfortable, uneasy, strained (usually regarding relationships); coarse, prickly",verb
고맙다,고마워요,고마웠어요,고마울 거예요,"to be thankful, grateful",verb
감동받다,감동받아요,감동받았어요,담동받을 거예요,"to be impressed, moved (stronger emphasis on the passivity)",verb
멋있다,멋있어요,멋있었어요,멋있을 거예요,to be cool/awesome,verb
멋지다,맞혀요,맞혔어요,맞힐 거예요,"to be(look) cool, nice, lovely; fashionable, stylish (interchangeable with 멋있다)",verb
나쁘다,나빠요,나빴어요,나쁠 거예요,"to be bad, poor",verb
나빠지다,나빠져요,나빠졌어요,나빠질 거예요,"to grow worse, deteriorate",verb
더럽다,더러워요,더러웠어요,더러울 거예요,"to be dirty, filthy; mean; awful, terrible",verb
세다,세요,셌어요,셀 거예요,"to be strong, powerful, solid; count (numbers);turn white (hair, skin)",verb
사납다,사나워요,사나웠어요,사나울 거예요,"to be wild, fierce, violent, rough (personality or inanimates); harsh, unlucky",verb
싫다,싫어요,싫었어요,싫을 거예요,to be unlikeable,verb
밉다,미워요,미웠어요,미울 거에요,"be ugly; to hate, be dislikeable",verb
못되다,못돼요,못됐어요,못될 거예요,"to be bad, mean, evil; under, short of; ugly",verb
진국이다,진국이에요,0,0,"to be very strong, very hardcore, superb, good shape",verb
잘생기다,잘생겨요,잘생겼어요,잘생길 거예요,"to look good, be handsome",verb
못생기다,못생겨요,못생겼어요,못생길 거예요,"to be (look) ugly, unattractive",verb
꼬시다,꼬셔요,꼬셨어요,꼬실 거예요,"to chase (women), pick up (girls), hit on; tempt, coax",verb
게으르다,게을러요,게을렀어요,게으를 거예요,"to be lazy, idle",verb
바쁘다,바빠요,바빴어요,바쁠 거예요,to be busy,verb
다행이다,다행여요,다행였어요,다행일 거예요,"to be lucky, fortunate",verb
부럽다,부러워요,부러웠어요,부러울 거예요,"to be jealous, envious (no neg. feeling towards the subject of envy)",verb
외롭다,외로워요,외로웠어요,외로울 거예요,to be lonely,verb
미치다,미쳐요,미쳤어요,미칠 거예요,"to go mad, (go/be) crazy, crazy (about); reach, influence, affect",verb
무섭다,무서워요,무서웠어요,무서울 거예요,"to be scary, scared",verb
두렵다,두려워요,두려웠어요,두려울 거예요,"to be fearful, afraid, frightened (of something that might happen/dreading something)",verb
놀라다,놀라요,놀랐어요,놀랄 거예요,"to be surprised, astonished, startled",verb
놀랍다,놀라워요,놀라웠어요,놀라울 거예요,"to be surprising, startling; wonderful, marvelous (adj) (something is surprising)",verb
부르다,불러요,불렀어요,부를 거예요,"to call out, gesture, say; full (filled up)",verb
불리다,불려요,불렸어요,불릴 거에요,"to be called, named; to soak; increase, extend",verb
비다,벼요,볐어요,빌 거예요,"to be empty, vacant; free, available, have, spare; be lax, loose; empty-headed",verb
비우다,비워요,비웠어요,비울 거예요,"to empty, vacate; move out, vacate, check out; step out",verb
모자라다,모자라요,모자랐어요,모자랄 거예요,"to be insufficient, short, lacking (colloquial, amounts); be dull, slow-witted, stupid",verb
실망시키다,실망시켜요,실망시켰어요,실망시킬 거예요,to disappoint,verb
늙다,늙어요,늙었어요,늙을 거예요,"to grow old, be old; be on the decline",verb
오래되다,오래돼요,오래됐어요,오래될 거예요,to be old (for an object),verb
낡다,낡아요,낡았어요,낡을 거예요,"to be old, worn, shabby; old-fashioned, outdated",verb
닳다,닳아요,닳았어요,닳을 거예요,"to wear out, run down",verb
촌스럽다,촌스러워요,촌스러웠어요,촌스러울 거예요,"to be old-fashioned, rustic, tacky, out-of-style, unsophisticated",verb
젊다,젊어요,젊었어요,젊을 거예요,"to be young (general), young (adult), youthful",verb
부끄럽다,부끄러워요,부끄러웠어요,부끄러울 거예요,"to be shameful, disgraceful, ashamed, embarrassed; be shy (contains the meaning of 창피하다 as well as be shy because of it; it also has a moral connotation when used as ""shameful"")",verb
당황스럽다,당황스러워요,당황스러웠어요,당황스러울 거예요,"to be flustered, disconcerted (not composed), confused, embarrassed",verb
쪽팔리다,쪽팔려요,쪽팔렸어요,쪽팔릴 거예요,"to be embarassing, lose face because of humiliation (slang)",verb
빨개지다,빨개져요,빨개졌어요,빨개질 거예요,"to turn red, blush",verb
어리다,어려요,어렸어요,어릴 거예요,"to be young, little; immature",verb
빠르다,빨라요,빨랐어요,빠를 거예요,"to be fast, quick, early",verb
서두르다,서둘러요,서둘렀어요,서두를 거예요,"to hurry, rush (needing to do something quickly and not be calm about it)",verb
길다,길어요,길었어요,길 거예요,to be long,verb
짧다,짧아요,짧았어요,짧을 거예요,to be short,verb
가늘다,가늘어요,가늘었어요,가늘 거예요,"to be thin, slender; small, weak, slight (something of length/abstract)",verb
얇다,얇아요,얇았어요,얇을 거예요,"to be thin, flimsy (objects)",verb
넓다,넓어요,넓었어요,넓을 거예요,"to be wide, broad; tolerant; extensive, comprehensive; spacious",verb
벌어지다,벌어져요,벌어졌어요,벌어질 거예요,"to get wider, spread, become far/distant; happen, break out",verb
좁다,좁아요,좁았어요,좁을 거예요,to be narrow,verb
두껍다,두꺼워요,두꺼웠어요,두꺼울 거예요,"to be thick, heavy; large, broad (objects)",verb
굵다,굵어요,굵었어요,굵을 거예요,"to be thick, big, chunky, bold (something of length/abstract)",verb
깊다,깊어요,깊었어요,깊을 거예요,"to be deep, bottomless, isolated; profound, serious; thick; long",verb
크다,커요,컸어요,클 거예요,to be big,verb
커다랗다,커다래요,커다랬어요,커다랄 거예요,"to be very big, huge, enormous",verb
엄청나다,엄청나요,엄청났어요,엄청날 거예요,"to be huge, enormous, tremendous, overwhelming",verb
무겁다,무거워요,무거웠어요,무거울 거예요,to be heavy,verb
가볍다,가벼워요,가벼웠어요,가벼울 거예요,to be light (as opposed to heavy),verb
작다,작아요,작았어요,작을 거예요,to be small,verb
조그맣다,조그매요,조그맸어요,조그맬 거예요,"to be tiny, small, petite (nuance of being slighly cute); little, trivial (more of a written term)",verb
낮다,낮아요,낮았어요,낮을 거예요,to be low; flat,verb
둥글다,동글어요,동글었어요,동글 거예요,"to be round, spherical; easygoing, well-rounded",verb
부드럽다,부드러워요,부드러웠어요,부드러울 거예요,"to be soft, smooth, fine (small); gentle",verb
미끄럽다,미끄러워요,미끄러웠어요,미끄러울 거예요,"to be slippery, greasy, slick",verb
높다,높아요,높았어요,높을 거예요,to be high; be noble,verb
높이다,높여요,높였어요,높일 거예요,"to make something high; increase, turn up, raise, enhance, elevate (can be abstract)",verb
기울다,기울어요,기울었어요,기울 거예요,"to tilt, lean, be inclined (to); decline",verb
많다,많아요,많았어요,많을 거예요,"(adj) to be a lot, many, a large number",verb
수많다,수많아요,수많았어요,수많을 거예요,"to be (very) numerous, a lot of, a great many",verb
새롭다,새로워요,새로웠어요,새로울 거예요,"to be new, fresh, original",verb
익다,익어요,익었어요,익을 거예요,"to ripen, be ripe, be (well) cooked; be skilled, experienced, familiar",verb
잘되다,잘돼요,잘됐어요,잘될 거예요,"to be going well, come out well, flourish, prosper; succeed, go well, be done well, come out right",verb
맞다,맞아요,맞았어요,맞을 거예요,"to be correct, beaten, hit",verb
맞히다,맞혀요,맞혔어요,맞힐 거예요,"to hit the mark, guess right, give the correct answer; stand someone up; vaccinate",verb
진실되다,진실돼요,진실됐어요,진실될 거예요,"to be true, truthful, sincere, real",verb
틀림없다,틀림없어요,틀림없었어요,틀림없을 거예요,"to be certain, beyond a doubt, not wrong; trustworthy",verb
옳다,옳아요,옳았어요,옳을 거예요,"to be right (morally), correct, proper, righteous, preferable",verb
알맞다,알맞아요,알맞았어요,알맞을 거예요,"to be fitting, suitable, appropriate, proper, right",verb
자유롭다,자유로워요,자유로웠어요,자유로울 거예요,"to be free (freedom, not price)",verb
잘못되다,잘못돼요,잘못됐어요,잘못될 거예요,to go wrong,verb
큰일나다,큰일나요,큰일났어요,큰일날 거예요,to be in big trouble; become serious,verb
욕먹다,욕먹어요,욕먹었어요,욕먹을 거예요,"to be blamed, be criticized, be reproached (be on the receiving end and hear criticism)",verb
죄짓다,죄지어요,죄지었어요,죄지을 거예요,"to commit a sin, do sinful things; be guilty",verb
이기다,이겨요,이겼어요,이길 거예요,"to win, defeat; overcome, control, suppress; endure, survive",verb
지다,져요,졌어요,질 거예요,"to lose, be defeated; be under an obligation; sink, go down; carry; take responsibility (for); be wrinkled",verb
어렵다,어려워요,어려웠어요,어려울 거예요,"to be hard, difficult",verb
힘들다,힘들어요,힘들었어요,힘들 거예요,"to be difficult, tiring, painful",verb
쉽다,쉬워요,쉬웠어요,쉬울 거예요,"to be easy, simple",verb
자연스럽다,자연스러워요,자연스러웠어요,자연스러울 거예요,to be natural,verb
헷갈리다,헷갈려요,헷갈렸어요,헷갈릴 거예요,"to be confused, confusing; be hard to find",verb
멀다,멀어요,멀었어요,멀 거예요,"to be far, distant",verb
멀어지다,멀어져요,멀어졌어요,벌어질 거예요,"to grow apart, drift apart, recede, become alienated",verb
가깝다,가까워요,가까웠어요,가까울 거예요,"to be close, nearby",verb
맑다,맑아요,맑았어요,맑을 거예요,"to be clear, clean, pure, fine",verb
개다,개요,갰어요,갤 거예요,"to clear up, become clear (weather); fold up (clothes); stop cease; mix something with water",verb
낯설다,낯설어요,낯설었어요,낯설 거예요,to be unfamiliar,verb
믿다,믿어요,믿었어요,믿을 거예요,"to believe, trust",verb
싸우다,싸워요,싸웠어요,싸울 거예요,"to argue, fight, dispute; contend (closer to a physical fight althoug not always)",verb
다치다,다쳐요,다쳤어요,다칠 거예요,"to get hurt, be hurt",verb
해치다,해쳐요,해쳤어요,해칠 거예요,"to injure, harm, damage, hurt",verb
아프다,아파요,아팠어요,아플 거예요,to be (feel) hurt/sick,verb
아파오다,아파와요,아파왔어요,아파올 거예요,to begin hurting/aching,verb
병들다,병들어요,병들었어요,병들 거예요,"to become sick, lose one's health",verb
앓다,앓아요,앓았어요,앓을 거예요,"to be sick (with), suffer (from); be worried (about), troubled",verb
괴롭다,괴로워요,괴고웠어요,괴고울 거예요,"to be painful (emotional or moral), distressing",verb
시달리다,시달려요,시달렸어요,시달릴 거예요,"to suffer (from), be pestered (by), harassed (by)",verb
괴롭히다,괴롭혀요,괴롭혔어요,괴롭힐 거예요,"to harass, annoy, trouble",verb
귀찮다,귀찮아요,귀찮았어요,귀찮을 거예요,"to be bothersome, a nuisance, feel annoyed (don't have to be in a bad mood)",verb
죽다,죽어요,죽었어요,죽을 거예요,to die,verb
죽이다,죽여요,죽였어요,죽일 거예요,"to kill, murder, erase; hold back, suppress",verb
살다,살아요,살았어요,살 거예요,"to live, be alive; lead a life; live (in/at/near)",verb
살아가다,살아가요,살아갔어요,살아갈 거예요,"to continue living (implies existence of some type of hardship), lead a life, get along, keep living",verb
살리다,살려요,살렸어요,살릴 거예요,"to save one's life, spare, keep alive; make good use; show, display",verb
살려주다,살려줘요,살려줬어요,잘려줄 거예요,"to save (me mostly), rescue, spare; help out",verb
태어나다,태어나요,태어났어요,태어날 거예요,to be born,verb
낳다,낳아요,낳았어요,낳을 거예요,"to give birth, deliver, cause the existence",verb
자다,자요,잤어요,잘 거예요,to sleep,verb
졸다,졸아요,졸았어요,졸 거예요,to doze,verb
잠들다,잠들어요,잠들었어요,잠들 거예요,to fall asleep,verb
감다,감아요,감았어요,감을 거예요,"to close one's eyes; wind, roll, coil, fast-foward/rewind, advance; wash; wash, bathe",verb
주무시다,주무셔요,주무셨어요,주무실 거예요,"to sleep (honorific?), go to bed",verb
쉬다,쉬어요,위었어요,쉴 거예요,to rest,verb
졸리다,졸려요,졸렸어요,졸릴 거예요,"to be sleepy, drowsy; tightened, throttled",verb
질리다,질려요,질렸어요,질릴 거예요,"to get tired of, sick of",verb
지치다,지쳐요,지쳤어요,지칠 거예요,"to be exhausted, worn out, fed up with, tired (body/mind)",verb
눕다,누워요,누웠어요,누울 거예요,to lie down; be sick in bed,verb
꿈꾸다,꿈꿔요,꿈꿨어요,꿈꿀 거예요,"to dream (of/about), wish, hope",verb
바라다,바라요,바랐어요,바랄 거예요,"to desire, wish, hope, want, look forward to; look (at), see",verb
웃다,웃어요,웃었어요,웃을 거예요,"to laugh, smile",verb
웃기다,웃겨요,웃겼어요,웃길 거예요,"to make someone laugh, be funny; be absurd",verb
불다,불어요,불었어요,불 거예요,"to blow, breathe",verb
숨쉬다,숨쉬어요,숨쉬었어요,숨쉴 거예요,"to breathe, take a breath (common)",verb
속삭이다,속삭이에요,속삭였어요,속삭일 거예요,to whisper,verb
시끄럽다,시끄러워요,시끄웠어요,시끄러울 거예요,"to be noisy, loud, chaotic",verb
떠들다,떠들어요,떠들었어요,떠들 거예요,"to make a noise, speak loudly, be noisy; spread (talk about something); insist",verb
지르다,질러요,질렀어요,지를 거예요,"to yell, shout, scream, cheer; get up; nudge, kick; cross, cut off, divide",verb
소리치다,소리쳐요,소리쳤어요,소리칠 거예요,"to shout, yell (saying something)",verb
외치다,외쳐요,외쳤어요,외칠 거예요,"to cry out, shout, yell (with a purpose, e.g. your ideals)",verb
혼내다,혼내요,혼냈어요,혼낼 거예요,"to scold, teach a person a lesson, punish; scare",verb
혼나다,혼나요,혼났어요,혼날 거예요,"to be scolded, punished; to have a hard time, struggle",verb
시키다,시켜요,시켰어요,시킬 거예요,"to order, force someone (to do something)",verb
안다,안아요,안았어요,안을 거예요,"to hug, hold; shoulder, bear, take on; face (toward); sit on, brood",verb
껴안다,껴안아요,껴안았어요,껴안을 거예요,"to hug (closely/tightly), cuddle, embrace",verb
말씀하시다,?,0,0,"to speak, talk, tell , said/say (hon.)",verb
생기다,생겨요,생겼어요,생길 거예요,"to form, come up, appear; to occur, happen; to look (good/bad); to come one's way (money or possession)",verb
생겨나다,생겨나요,생겨났어요,생겨날 거예요,"to come into existence, occur, emerge",verb
풍기다,풍겨요,풍겼어요,풍길 거예요,"give off a smell, give off",verb
일어나다,일어나요,일어났어요,일어날 거예요,"to get up, stand up, get out of bed, wake up; occur, happen, take place",verb
깨다,깨요,깼어요,깰 거예요,"to wake (up), sober (up), doped (up), be enlightened; break, smash, shatter",verb
깨우다,깨워요,깨웠어요,깨울 거예요,to wake up (someone),verb
깨어나다,깨어나요,깨어났어요,깨어날 거예요,"to wake (up) (mentally wake up), come to one's senses, regain consciousness",verb
피우다,피워요,피웠어요,피울 거예요,"to smoke; bloom, blossom; make a fire; raise, kick up; emit, give off; do, act",verb
넘다,넘어요,넘었어요,넘을 거예요,"to exceed, go over; climb, jump (over); cross, pass",verb
넘어가다,넘어가요,넘어갔어요,넘어갈 거예요,"to cross, go overpass, move on to; exceed, go beyond; fall (down), be brought down; be turned over, fall into somebody's hands",verb
넘치다,넘쳐요,넘쳤어요,넘칠 거예요,"to overflow, run over, exceed, flood",verb
넘어오다,넘어와요,넘어왔어요,넘어올 거예요,"to come over, cross over; fall,come down; be transferred (to), handed over (to)",verb
젓다,저어요,저었어요,저을 거예요,"to stir (liquid), shake, swing, wag",verb
흐르다,흘러요,흘렀어요,흐를 거예요,"to flow, run, empty into; overflow; elapse, pass, go by",verb
모으다,모아요,모았어요,모을 거예요,"to gather, collect, accumulate, save; focus, collaborate",verb
