ko,en,type
범인,"criminal, culprit, suspect; ordinary person",noun
강도,"robber, robbery; strength, intensity; solidity",noun
왕,king,noun
주군,"one's master, king, lord",noun
천사,angel,noun
날개,wings,noun
꼬리,"tail; last of a group, end",noun
신부,bride; Catholic priest,noun
목사님,"pastor, minister",noun
수퍼맨,superman,noun
로봇,robot,noun
팬,"fan (a person), enthusiast, admirer; fan (machine)",noun
거지,"beggar, bum; being worthless (might be used in a lot of idioms too... not sure)",noun
기계,"machine, machinery, robot; being machine-like",noun
기관,"engine; institute, school; organ",noun
장비,"equipment, gear",noun
텐트,tent,noun
소포,"parcel, package",noun
포장,"packing, wrapping, packaging material; covering; paving",noun
상자,"box, case, bin",noun
저울,"scale (weighing), balance",noun
수레,"wagon, cart, wheelbarrow",noun
잎,"leaf; blade, needle",noun
칼,knife; sword,noun
총,"gun; (determiner) total (number of something), overall, gross",noun
가위,scissors,noun
망치,hammer,noun
테이프,tape,noun
빗,comb,noun
젓가락,chopsticks; mouthful,noun
수저,spoon and chopsticks (traditional Korean utensils),noun
줄,"rope, string; line, queue, row",noun
줄기,"trunk, stem, cane; stream (of), branch (of), section; streak, beam, column",noun
실,"thread, yarn; loss; (bound noun) room",noun
뒷줄,back row,noun
담배,cigarette,noun
중독,poisoning; addiction,noun
인형,"doll, puppet, figure",noun
시계,"clock, watch; visibility",noun
열쇠,key,noun
에어컨,air conditioner,noun
가습기,humidifier,noun
유리,"glass; being profitable, beneficial",noun
고무,"rubber; be encouragement, inspiration, stimulation",noun
우산,umbrella,noun
부채,"fan, folding fan; debt, liabilities",noun
복권,"lottery (ticket); reinstatement, restoration",noun
만화,comic book,noun
라디오,radio,noun
돌,"stone, anniversary",noun
짐,"load, burden, baggage, cargo",noun
부담,"burden, load, obligation",noun
선물,present,noun
기념품,souvenir,noun
장난감,toy,noun
사은품,"free gift, freebie",noun
배달,"delivery (small scale deliveries, food etc)",noun
카드,"card; solution, key",noun
게시판,"bulletin board, notice board, message board (online)",noun
간판,"sign, store signboard; front, figurehead; background, qualification",noun
신호,"signal, code, sign",noun
노크,"knock (on), knocking",noun
소리,"sound, noise",noun
불,fire; light,noun
태양,sun; hope,noun
빛,"light, ray, glow; color, tinge, complextion",noun
햇살,"sunlight, sunshine, sunbeam, heat of the sun (less common)",noun
햇빛,"sunlight, sunshine, sun; see the light",noun
어둠,"darkness, the dark",noun
물,water,noun
물속,"inside water, underwater",noun
찬물,cold water,noun
강물,river water,noun
빗물,rain water,noun
땅,"the ground; land, territory; bang",noun
흙,"earth, soil, dirt; ground",noun
가루,"powder, flour, dust",noun
바위,rock,noun
금속,metal,noun
금,"gold; line, crack (in)",noun
황금,"gold (en); money, wealth",noun
진주,pearl,noun
구멍,"hole, pit, opening; loophole, way out; weakness",noun
풀,"grass; glue; spirit, heart; pool",noun
잔디,"grass, lawn, turf",noun
얼음,ice,noun
눈사람,snowman,noun
그림자,"shadow, silhouette; reflection; trace; ominous feeling; reputation",noun
그늘,"shade, shadow; care, protection; influence",noun
더위,the heat,noun
온기,warmth,noun
전자의,electronic,noun
전기,"electricity, electric power; the former part of, early years; turning point; biography",noun
전원,"electricity supply, socket; countryside, rural areas; all members, everyone",noun
충격,"shock, impact; shock, jolt",noun
자리,"room (for), space, opening, place (for something); seat; mat",noun
공간,"space, room",noun
제한,"limit (artificial), restriction, constraint",noun
제약,"restriction (on), limitation (by way of adding conditions), constraint; manufacture of medicines",noun
몫,"share, portion; role; quotient",noun
일부,"part, section, portion (?groups); one man",noun
부분,"part, portion, section (?bigger)",noun
분야,"field, area, sphere (abstract)",noun
역할,"role, part",noun
사투리,dialect,noun
말투,"one's way of talking, style of speech, accent",noun
토론,"discussion, debate",noun
얘기,"story; talk, conversation",noun
목소리,"voice, tone of voice, voice (opinion or assertion)",noun
음성,voice; negative (sino),noun
큰소리,"loud voice, shouting; bragging, big talk; complaint",noun
인사,greetings,noun
사회적,social,noun
진심으로,"sincerely, from one's heart",noun
농담,joke (words),noun
메시지,message,noun
댓글,comment,noun
코멘트,"comment, remark",noun
언급,"mention, reference (talking about a certain matter)",noun
메모,"memo, note, message",noun
나라,"country, nation",noun
국가,"nation, country, state; national anthem",noun
국적,"nationality, citizenship",noun
외국,foreign country,noun
해외,"foreign country, abroad, overseas",noun
국제,"being international, global",noun
전국,"the whole country, nationwide",noun
제국,empire,noun
국기,national flag,noun
깃발,"flag; belief, claim",noun
국내,"inside country, domestic",noun
지도,"map, chart; plan, guidance (on)",noun
지방,"local area, region, district, province; fat; countryside",noun
지역,"area, region, district, zone",noun
도시,city,noun
고향,hometown,noun
동네,"neighborhood, village",noun
이웃,"neighbor, the neighborhood",noun
마을,"town, village",noun
민속촌,Folk village,noun
수도,"capital city; water supply (service), sewerage, faucet",noun
시청,city hall; act of watching,noun
광장,"plaza, square",noun
시내,"the city, downtown, stream, brook",noun
여행,"trip, travel",noun
여행지,(travel) destination,noun
여행용,"for travel, travel",noun
왕복,"round trip, travel back and forth",noun
교통,"traffic, transportation; communication, interaction; trade, international exchange",noun
대중교통,public transportation,noun
신호등,"traffic light, traffic signal",noun
공항,airport,noun
항공,"aviation, flight (travel)",noun
비행기,"airplane, plane",noun
항공권,airline ticket,noun
일등,"first, first class (rank/grade that comes first before others)",noun
터미널,terminal,noun
지하철,underground train,noun
지하도,"underpass, underground tunnel, subway",noun
전철,subway (train) (electric),noun
기차,train (like in train station),noun
급행열차,express train,noun
역,station (subway); part in a play ,noun
기차역,train station,noun
선로,"train tracks, railroad",noun
호선,"(bound noun) line (subway); arc, curve",noun
정류장,"stop, station (bus etc.)",noun
정거장,"station, stop (bus), x station",noun
운전,driving,noun
길,"street, road; way (as in someone's way?)",noun
큰길,main road,noun
도로,"road, street, highway, traffic lane; back (opposite direction one is going), revert; vain effort",noun
도로변,roadside,noun
고속도로,"expressway, highway",noun
거리,"distance; street, road",noun
주차장,"parking lot, parking garage",noun
사거리,"intersection, crossroads, street corner",noun
출구,exit,noun
택시,taxi,noun
버스,bus,noun
고속버스,express bus,noun
막차,the last train/bus,noun
직행,"go straight (to), going direct; nonstop, express",noun
운전사,"driver, chauffeur",noun
자동차,car,noun
차,car; tea,noun
자가용,"one's own car, private/personal car",noun
승용차,"passenger car, sedan",noun
승객,passenger,noun
트럭,truck,noun
오토바이,"motorcycle, scooter",noun
자전거,bicycle,noun
취미,hobby,noun
춤,dance,noun
춤을 추,dancing,noun
무용,dance (formal); uselessness; military arts,noun
탈춤,masked dance,noun
예술,art (broad),noun
작품,"piece of artwork (music, literature, etc); product",noun
미술,fine art,noun
등산,"hiking, mountain climbing",noun
낚시,"fishing, fishing gear; seduction",noun
음악,music,noun
음악가,musician,noun
가수,singer,noun
가사,"lyrics; housework, chores",noun
노래,song,noun
곡,"tune, piece of music, song (sino)",noun
가요,"pop song, kpop",noun
클래식,classic (al music),noun
가곡,"traditional song, classical song (old)",noun
아리랑,"traditional Korean song ""Arirang""",noun
재즈,jazz,noun
피아노,piano,noun
악기,musical instrument,noun
기타,guitar; etc,noun
스포츠,sports,noun
게임,game,noun
경쟁,"competition, contest, rivalry",noun
경쟁사,"competitor, rival company",noun
도전,challenge,noun
올림픽,Olympics,noun
노래자랑,singing contest,noun
승자,winner,noun
팀,team,noun
선수,"player, athlete, professional, master; lead (action before others)",noun
운동장,"field, (sports) stadium (smaller); playground",noun
경기장,sports stadium (bigger),noun
경기,"game, match, event; economy, business; convulsion",noun
놀이,"play, game, entertainment",noun
장난,"game, playing (for fun); joke, trick (behavior)",noun
수영,"swimming, bathing, swim",noun
농구,basketball,noun
야구,baseball,noun
축구,football (soccer); idiot,noun
테니스,tennis,noun
탁구,table tennis,noun
배구,volleyball,noun
골프,golf,noun
볼링,bowling,noun
배드민턴,badminton,noun
스키,"skiing, skis",noun
스케이트,"skates, skating",noun
태권도,Taekwondo,noun
권투,boxing,noun
윶놀이,yut (game 4 sticks),noun
훈련,"training, practice, discipline (receive some sort of training/military or physical training)",noun
연습실,practice room,noun
수영장,swimming pool,noun
노래방,karaoke room,noun
소풍,"picnic, trip, outing",noun
파티,party (social gathering),noun
송별회,farewell party,noun
잔치,"party, feast, banquet",noun
집들이,housewarming party,noun
초대장,(written) invitation,noun
공연,"public performance, concert, show",noun
전시회,"exhibition, show, display",noun
시상식,awards ceremony,noun
예식장,"ceremony hall, wedding hall",noun
졸업식,graduation/commencement ceremony,noun
코미디,comedy,noun
축제,"festival, carnival",noun
놀이기구,amusement park rides,noun
놀이공원,amusement park,noun
음악회,(sino) concert,noun
콘서트,concert,noun
오페라,opera,noun
대회,"mass meeting, convention; contest, tournament, competition(where many people gather)",noun
경주,"race, run, sprint; Gyeongju",noun
마라톤,marathon,noun
밖,"outside, out, exterior (can be abstract)",noun
바깥,"outside, the open, exterior (can be descriptive)",noun
실외,"outdoors, outside the room or house",noun
겉,"the outside, exterior (of something), surface",noun
외부,"the outside, the exterior (more common as a standalone noun rather than being associated directly with a verb)",noun
안,"inside, within; not; proposal",noun
속,inside; heart,noun
실내,"indoors; inside the room, interior",noun
내부,inner space of an object,noun
재미,fun,noun
퍼즐,puzzle,noun
공,"ball, zero (sino); contribution, credit",noun
과다,excessive,noun
피곤,"fatigue, tired, exhausted",noun
운동,exercise,noun
활동,"activity, movement; effort, campaign",noun
스트레스,"stress, strain",noun
압력,"pressure (general), strain",noun
고민,"worry, trouble, concern (inner)",noun
신경,"nerves; care, concern",noun
마사지,massage,noun
상처,"injury, wound, cut, bruise; scar; losing one's wife",noun
부상,"injury, wound; prize; emergence, floating",noun
피해,"damage, harm (physical, reputation, property, money)",noun
아픔,"pain, ache, suffering; sorrow, grief, distress; sick",noun
고통,"pain, suffering, agony, torture (physical or mental)",noun
통증,"pain, ache (physical)",noun
피곤,"fatigue, exhaustion, tired",noun
힘,"force, strength, energy; authority, power, influence, effort",noun
폭력,"violence, force",noun
에너지,"energy, power",noun
기운,"energy, vitality, strength, force; atmosphere, air, feeling; effect, influence, touch",noun
노력,effort,noun
화,"anger; disaster, misfortune",noun
겁,"fear, scared, dread, terror",noun
공포,"(abstract/not in the mind) fear, terror, fright, panic, horror; proclamation, make public, announcement",noun
신나,excited,noun
열심히,"diligently, passionately",noun
신나는,exciting,noun
동작,"movement, motion; working (properly)",noun
움직임,"movement, motion, activity",noun
이동,"movement, transfer, migration (one place to another)",noun
다운,"down, knockdown, be floored",noun
걸음,"step, pace, walk; action, initiative",noun
발걸음,"footstep, pace",noun
행위,"act, action, conduct (behavior with an intent)",noun
액션,action,noun
자세,"posture, position, pose; attitude",noun
잘,well,noun
사랑,love,noun
데이트,date,noun
바람둥이,"womanizer, playboy",noun
소개팅,blind date,noun
맞선,"marriage meeting, blind date (specifically for marriage)",noun
미혼,"single, unmarried",noun
연애,"(behavior/act of) dating; (be in) love, romance, romantic relationship (with)",noun
매력,"charm, attractiveness, sex appeal",noun
정,"affection, attachment, emotion; really, truly; chisel; tablet, pill; rifle",noun
애교,"(personal) charm, childish cuteness (acting cute)",noun
짝사랑,"unrequited love, (secret) crush, one-sided love",noun
성격,"character, personality, nature",noun
이상형,ideal type,noun
정신,"consciousness, mentality, mind, spirit; philosophy",noun
의식,"consciousness, being conscious of, aware, sense; ceremony, ritual",noun
영혼,"soul, spirit",noun
넋,"soul, spirit (less common/seems like mostly abstracts)",noun
귀신,"(evil/bad) ghost, apparition, spirit; demon (at)",noun
마음,"mind, heart, nature, personality",noun
마음속,"one's mind, one's heart, inside one's heart, innermost thoughts",noun
머릿속,"inside one's head, mind",noun
자기,"self, oneself, one, you; (slang) honey",noun
소개,introduction,noun
자기소개,self-introduction,noun
자신,oneself; self-confidence; alone,noun
스스로,"oneself, (for/by) oneself; of one's own accord (formal)",noun
자체,"oneself, itself, being own",noun
혼자,alone,noun
홀로,"(written) alone, by oneself, single-handedly",noun
사적,"private, personal; in person; historical site",noun
의리,"loyalty; justice, righteousness",noun
전환,"change, switch, transition (bigger macroscopic entities*country, enterprise, economy, political systems* / transition between male and female)",noun
자연,nature; naturally,noun
천연,"natural (state)(unprocessed or cannot be changed by humans), naturalness; (can be used in comb. with other words)",noun
짓,"act, behavior (negative acts)",noun
행동,"behavior, action (moving your body to do an action/general behavior); conduct oneself, behave",noun
작용,"action, effect, act (as/on) (in a cause and effect sense), work (on), function",noun
주변,"surroundings, being around; being sociable, being a people person",noun
기분,"mood, feeling; atmosphere",noun
분위기,"atmosphere, mood",noun
공기,"air, atmosphere; atmosphere (mood); bowl",noun
가스,gas,noun
태도,"attitude, manner; stance, position",noun
표현,"expression, express, show (one's feelings, thoughts)",noun
관심,"interest (in), concern (for), attention (interest is directed towards something pos/neg)",noun
흥미,"interest, curiousity (have positive interest towards something)",noun
느낌,"feeling, sensation, sense, hunch, impression",noun
감정,"feeling, emotion; grudge, animosity; appraisal, valuation, expert opinion",noun
눈치,"sense, wit; reading (sensing) the atmosphere or people's faces",noun
별일,"strange thing, special event, unusual occurrence, particular thing",noun
실례,"bad manners, rudeness; example, instance",noun
소문,"rumor, gossip",noun
비밀,secret,noun
비밀번호,"password, PIN, personal identification number",noun
생각,"thought, idea",noun
아이디어,idea,noun
상상력,imagination,noun
믿음,"confidence, trust, faith; belief (religious)",noun
신용,"trust, credibility, confidence (in) (more official/business sounding but still any context)",noun
용기,"courage (the spirit of bravery), nerve, guts, spunk; container",noun
투혼,fighting spirit,noun
종교,"religion, faith",noun
절,"Buddhist temple; deep bow; clause, verse, paragraph",noun
기억,memory,noun
추억,memory (recollection of past event),noun
기념,"commemoration, memory, celebration",noun
영광,"honor, glory",noun
명예,"honor (recognized by the world as having good value), distinction, fame, reputation",noun
의견,"opinion, view, idea",noun
견해,"view, opinion, point of view (formal)",noun
주장,"opinion, claim, argument, assertion, contention; captain, leader",noun
소감,"thoughts (on), impression, opinion, feelings (positive only)",noun
입장,"position, stance, situation; admission",noun
관점,"point of view, perspective",noun
인상,"impression; look(s), features, appearance; raise, increase",noun
첫인상,one's first impression,noun
호감,"good feeling, favorable impression",noun
복,"luck, good fortune; blessing, happiness; blowfish",noun
운,"luck, fortune, fate; rhyme; the start of a conversation",noun
행운,"good luck, good fortune, lucky break",noun
기적,"miracle, wonder; steam whistle",noun
운명,"fate, destiny",noun
모험,"adventure, risk",noun
위험,"danger, risk, hazardous",noun
기회,"chance, opportunity, time",noun
가능성,"possibility, likelihood, probability, chance; potential",noun
능력,"ability, capability, capacity (for), competence",noun
비전,"vision, future, prospect",noun
습관,"habit (smaller), habitual practice",noun
버릇,(Neg. conn.) habit; manners,noun
관습,"habit (bigger), custom, convention",noun
굳이,"taking the trouble (to do something), persistently",noun
부탁,"request, ask a favor",noun
도움,"help, aid, assistance, support",noun
제공,"offer, provision, supply, provide",noun
입수,"acquisition, procure, obtain; entry into water",noun
뿌리,"root; root, origin",noun
진행,"progress, in the process of doing, proceed (moving forward)",noun
동안,"during, interval, while",noun
앞으로,from now on; forward,noun
발전,"development, growth, progress, develop, advance(ment) (process of developing); electricity generation",noun
성장,"growth, devlopment",noun
혁명,revolution; innovation,noun
과거,"the past, history; past tense",noun
역사적,"historical, being historic",noun
전설,legend (story),noun
옛날얘기,"folk tale, legend",noun
희망,"hope, wish, desire, be hopeful (interchangeable with 바라다 but used for slightly bigger/dire situations)",noun
소원,"wish (something specific), desire",noun
대체,"substitution, alternation, replacement; come to the point; at all, ever, (how/what/why) on earth, what the hell",noun
애완동물,pet,noun
동물,animal,noun
물고기,fish,noun
병 아리,chicks (animal),noun
강아지,puppy,noun
고양이,cat,noun
개,dog; counter,noun
새,new; bird,noun
토끼,rabbit,noun
닭,chicken (living animal),noun
호랑이,"tiger; scary, a brute, a cruel person",noun
돼지,pig,noun
벌레,"bug, insect; worm; hard worker",noun
모기,mosquito,noun
원숭이,monkey,noun
사자,"lion, lioness",noun
쥐,"rat, mouse; cramp, (muscle) spasm",noun
여우,"fox, vixen; actress",noun
곰,bear; slow person,noun
거미,spider,noun
오징어,"squid, cuttlefish",noun
파리,fly (bug); paris,noun
소,"cow; filling (food related); small; claim, case",noun
오리,duck,noun
개미,ant,noun
새우,"shrimp, prawn",noun
나비,butterfly,noun
잠자리,"dragonfly; bed, bed clothes, sleep with someone",noun
코끼리,elephant,noun
개구리,frog,noun
외계인,alien (extraterrestrial),noun
색깔,color,noun
검은색,"black, a dark color",noun
검정,"black (night sky, no light)",noun
까만색,black,noun
빨간색,red,noun
흰색,(noun) white,noun
하양,"white, whiteness, white tint",noun
하얀,"(adj) white, pale",noun
노랑,yellow (noun),noun
노란색,yellow,noun
황색,"yellow (added to words? ""yellow sun"")",noun
연두색,light yellowish green (pea),noun
초록색,green,noun
녹색,green,noun
갈색,light brown,noun
회색,gray,noun
분홍색,pink,noun
핑크,pink (more common),noun
빨강,"red, crimson, scarlet",noun
주황색,orange (color),noun
보라색,"violet, purple",noun
청색,blue,noun
남색,"indigo, deep blue, navy",noun
하늘색,sky blue,noun
밤색,"brown, chestnut",noun
고동색,reddish brown,noun
파랑,"blue (noun); wave, ripple",noun
연보라,"light purple, violet",noun
하양색,white,noun
옷,clothes,noun
의류,"clothing, clothes (slightly more formal word)",noun
정장,"formal wear (outfit, dress, suit)",noun
교복,school uniform,noun
제복,uniform,noun
와이셔츠,dress shirt (white shirt),noun
티셔츠,t-shirt,noun
원피스,dress,noun
드레스,"dress, gown (fancier)",noun
코트,coat (like a trenchcoat),noun
외투,overcoat (seems bigger/not that common),noun
재킷,jacket (lighter/might be closer to high fashion styles),noun
조끼,vest,noun
스웨터,sweater,noun
블라우스,blouse,noun
바지,pants,noun
청바지,blue jeans,noun
치마,skirt,noun
반바지,shorts,noun
속옷,underwear,noun
스타킹,"stockings, pantyhose",noun
양말,socks,noun
슬리퍼,slipper,noun
신,"shoes (same as 신발), footwear; god; joy, delight",noun
구두,dress shoes,noun
신발,"shoes, footwear",noun
운동화,"sports shoes, sneakers",noun
고무신,rubber shoes,noun
장화,boots (dealing with weather eg rain boots); a long talk,noun
부츠,boots,noun
지갑,wallet,noun
가방,bag,noun
주머니,"pocket; bag, pouch; being full of (person full of)",noun
호주머니,pocket (less common),noun
벨트,belt (load/more common),noun
배낭,backpack,noun
봉투,"envelope, bag",noun
장갑,(pair of) gloves,noun
모자,"hat, cap; mother and son",noun
안경,"glasses, eyeglasses",noun
선글라스,sunglasses,noun
목걸이,"necklace, choker",noun
목도리,scarf,noun
스카프,scarf (more common),noun
반지,ring,noun
귀걸이,earring,noun
팔찌,"bracelet, wristlet",noun
넥타이,necktie,noun
양복,suit,noun
수영복,"swimsuit, bathing suit",noun
유행,"fashion, trend; outbreak, spread, be prevalent",noun
스타일,style,noun
탈,"mask, disguise; sickness; snag, trouble; prefix meaning ""escaping""",noun
화장품,"cosmetics, makeup",noun
화장,"make-up, putting on cosmetics; cremation",noun
향수,"perfume, fragrance; homesickness, nostalgia",noun
거울,mirror; example,noun
기술,"skill, technique, technology; description",noun
실력,"skill, ability, capability, talent (only tangible skills); force, strong action",noun
기능,"function, role; skill",noun
노릇,"role (act as a role), function; job, work (can be demeaning); situation, circumstances",noun
작동,operation (of a device),noun
재능,"talent, gift (for); genius, talented",noun
재주,"talent (for something that anyone can have with enough practice), skill, gift (for)",noun
전문,"specialty, specialize; the whole text",noun
장점,"advantage, strength, strong point",noun
단점,"weakness, flaw, shortcoming (personality or thing that has defective or negative aspects to it)",noun
어려움,"difficulty, trouble, problem, hardship",noun
부족,"tribe; shortage, lack, deficiency, insufficiency",noun
질문,"question, query",noun
조회,"inquiry (into), ask about something, check; morning meeting",noun
문제,"problem, question",noun
문제점,"problem, problem point (in something) drawback, the point in question",noun
물음,question (less common),noun
조사,"investigation, inquiry, look into, go over; poll, survey; postposition; eulogy",noun
귀띔,"hint, tip",noun
대답,"answer, response (closer to a general response to something)",noun
답장,"response, , reply, answer (written letter etc)",noun
호응,(positive) response,noun
답,"answer (to), reply (to); answer; solution",noun
동의,"agreement, agreeing",noun
인정,"admitting, acknowledgement, accept",noun
승인,"approval, acknowledgement",noun
찬성,"approval, agreement, consent",noun
나머지,"the rest, the remainder; outcome, result",noun
결과,"result, outcome, consequence, effect",noun
성적,"grade, mark, results; sexual",noun
점수,"score, mark, grade; the number of items",noun
효과,"effect, efficiency, effectiveness",noun
영향,"influence, effect, impact",noun
감동적,"(noun) be moving, touching, impressive",noun
끝,"end, finish, close; point, edge",noun
강제,"coercion, by force",noun
주제,"subject, theme, topic",noun
예,"example; yes; here, this",noun
보기,example; view,noun
경우,"case, circumstances, scenario; reasonable",noun
상황,"situation, state of things, circumstances, condition",noun
사정,"(neg) reason; situation, circumstance; beg, plead; ejaculation; inspection",noun
현상,"the present situation, phenomenon, existing circumstances, status quo; develop, have something developed; reward, bounty, prize",noun
상태,"condition, state",noun
큰일,"serious matter, major concern; big event, important occasion",noun
준비,"preparations, be (get) ready",noun
도구,"tool, instrument; means (of)",noun
수단,"means/tool, way, method; way(s), skill (specific means to achieve a purpose/means of...)",noun
방법,"way, method (how/general way to do something)",noun
방향,"direction, way, course",noun
편도,"one-way, each way (traveling context)",noun
사방,"all directions everywhere, 4 sides, all sides",noun
방식,"method, way, means",noun
식,"form, style; way; ceremony; expression (math)",noun
형식,"form, formality, convention; type, style, format, template, form",noun
양식,"style, pattern; Western-style food, food stores; form (document); good sense; culture, farming (of fish)",noun
과정,process (with checkpoints); (scholastic) course,noun
목적,"purpose, aim, goal, objective",noun
용법,"usage, use; direction for use, instrucion for use in a certain way",noun
목표,"target, goal, aim, purpose, objective",noun
목적지,one's destination,noun
의도,"intention, aim, purpose (focus on the speaker)",noun
의미,"meaning, sense, mean, signify, implication; importance",noun
이유,"reason, cause, excuse for",noun
이성,"reason (rational), rationality, intellect; the opposite sex",noun
핑계,"excuse, pretext (for doing something bad)",noun
변명,"excuse, justification",noun
원인,"cause, factor, reason",noun
논리,"logic, reasoning",noun
논리적,"being logical, reasoning",noun
계획,"plan (for), program, design",noun
명령,"order, command, instructions",noun
결정,"decision, make up one's mind, resolution; (formal) determination; crystal; fruit, result",noun
결심,"determination, resolution, decision",noun
설정,"set-up (decide on something), set (something); settings (options)",noun
막바지,"stubborn; last stage, final stage, last minute, final hours; dead end, bitter end (not common)",noun
가위바위보,rock-paper-scissors,noun
책임,"responsibility, duty, obligation; blame, responsible (for)",noun
한발,one step (referenceing an action or event),noun
단계,"stage, phase, step",noun
종반,"the last phase (stage), last half",noun
후반,"second half, latter part",noun
성공,"success, succeed",noun
터,"site, lot, foundation, ground; (bound noun) one's plan, guess, will",noun
필수,"essential, required, requirements, necessities",noun
기초,"foundation, basis, base, basics, be based on, groundwork (can be physical in context)",noun
기본,"basis, foundation, basics, fundamentals; prerequisite, essential (slightly abstract)",noun
기준,"standard, criteria, basis",noun
기본적,"basic, fundamental",noun
바탕,"foundation (of), basis (of/for); background; nature, innate quality",noun
표준,"standard, criterion, average, norm",noun
구성,"composition, configuration, formation; form, comprise, make up (formal)",noun
수준,"level, standard, norm, average",noun
고급,"high rank, seniority, high class",noun
특징,"characteristics, (distinct) feature",noun
특성,"characteristic, nature, property, quality, attribute",noun
품질,quality,noun
무조건,unconditional,noun
상담,"advice, consultation, consult somebody about something; business talk",noun
조언,"advice, counsel, hint, tip",noun
자격,"qualificiation, right (to do); capacity",noun
조건,"condition (for), terms (of)",noun
선택,"choice, selection, select",noun
추천,"recommend, recommendation",noun
배려,"consideration (for), regard, care, thoughtfulness",noun
편,"(lean towards one)side, direction; party (group is split); chapter, section",noun
참고,"reference, refer (to)",noun
상징,symbol (expressing an abstract in a tangible way),noun
자료,"materials, data",noun
재료,"material, raw material, ingredient",noun
내용,"contents, substance, details, message",noun
정보,"information, report, data; intelligence",noun
분석,analysis,noun
지식,"knowledge, understanding, know-how",noun
호,"number, unit; issue (newspaper, comic); arc; household, family",noun
안내,"guidance, information leaflet, announcement; introduction",noun
안내원,guide,noun
공유,"sharing (of information, files etc.); public ownership",noun
규모,"scale, scope, systematic plan",noun
자,"ruler (triangle, square, t-square etc); letter, character; line; the Korean foot; man, person",noun
차례,"order, sequence; turn (your turn); table of contents; (counter) time (# of times); memorial service for ancestors",noun
순번,"turn, go (not common)",noun
순서,"order (sequential), sequence, procedure, process",noun
순차,"sequential, order",noun
랭킹,ranking,noun
경향,"tendency, trend, inclination",noun
균형,"balance, equilibrium",noun
시리즈,series,noun
구조,"structure, organization; rescue, save somebody",noun
시스템,system,noun
합계,"sum, total, aggregate",noun
표,"ticket, vote; table, diagram; mark, sign",noun
선,line,noun
점,"dot, point; viewpoint; fortune-telling; thing (specific aspect among many)",noun
빈칸,"blank space, blank column",noun
삼각,triangle,noun
쪽,"side, specific direction; page",noun
곁,"side, beside, vicinity; close person",noun
면,"side, face; aspect, (in) respect (to); cotton; noodle",noun
사실,"fact, truth; actually, in fact, to be honest",noun
사실은,"in fact, the truth is, actually",noun
현실,"actuality, reality",noun
실제로,"in fact, actually, in reality, really, in effect",noun
생시,"reality; time of birth; being awake, day of one's life (not common)",noun
부주의,"carelessness, negligence, inattentive",noun
예외,exception,noun
차별,discrimination; distinction,noun
사고,"accident, mistake, ",noun
우연,"coincidence, chance, fluke, accident",noun
엉망,"wreck, mess, bad shape",noun
사건,"incident, affair, event, case, accident",noun
실수,"mistake, error; breach of etiquette, discourtesy",noun
조심,"caution, beware of, careful",noun
위협,"threat, intimidation",noun
고장,"trouble (with), breakdown (in), failure (in); region, area, home",noun
거짓말,"lie, untrue",noun
부정,"denial, negation; corruption, dishonesty; unfaithfulness; paternal love",noun
오해,"misunderstanding, misconception",noun
후회,regret,noun
가짜,"fake, imitation, forgery",noun
양다리,"two time, double-deal, both ways (also used in the context of cheating); both legs",noun
엉터리,"bullshit, rubbish, nonsense, fake, cheat",noun
의심,"doubt, suspicion, mistrust",noun
의문,"question, doubt (state of being doubtful)",noun
호기심,curious (desire to learn something new),noun
극찬,"high praise, compliment",noun
자존심,"self-respect, pride, self-esteem",noun
불만,"dissatisfaction, discontent, complaint",noun
짜증,"irritation (at/with), annoyance",noun
질투,"jealousy, envy (unfair that you don't have it)",noun
복수,revenge; plural (more than one),noun
욕심,"greed, desire",noun
열정,passion (continuous),noun
야망,"ambition, aspiration",noun
집착,obsession,noun
마음대로,"as one pleases, as one likes, at will, at one's convenience (neutral connotation/pos or neg context)",noun
의지,"will, volition; leaning, support; reliance, dependence",noun
적극적,"(being) positive, active, aggressive, enthusiastic",noun
인내심,"patience, endurance, perserverance",noun
환대,"hospitality, (warm) welcome",noun
인심,"one's mind, one's heart; caring, compassion; spirit of the people (not common but usually ?generous?)",noun
통일,"unity, unify, unification (things that were split become one); standardize, concentration",noun
종합,"combined, aggregated (overall, comprehensive,), integrated, synthesis, putting together relevant things together into one",noun
종류,"kind, type, sort, category",noun
종,"species, kind, type; bell; slave, servant",noun
화제,"topic, subject of conversation; title",noun
말,"speech, words, language; horse",noun
어휘,"vocabulary, stock of words",noun
단어,"words, vocabulary",noun
한마디,a word (singular),noun
욕,"swear word, insult, abusive language; badmouth; shame, disgrace",noun
검색어,search term,noun
통신,"communication, correspondence; report, dispatch",noun
번역,translation,noun
자막,subtitles; caption,noun
발음,pronunciation,noun
이야기,"conversation, talk, speak, tell",noun
대화,"conversation, talk (with), dialogue, talk (about)",noun
수다,chatter (noun),noun
친구,friend,noun
전 남자친구,ex-boyfriend,noun
남친,boyfriend,noun
남자친구,a boyfriend,noun
여자친구,girlfriend,noun
인,person,noun
애인,"lover, gf/bf",noun
신랑,groom,noun
어른,adult (handles the resp. of an adult); one's senior,noun
성인,"adult, grown-up, someone of legal age (formal); saint",noun
아줌마,"ma'am, middle aged woman",noun
아주머니,middle aged woman; aunt,noun
아저씨,"mister, middle-aged man, uncle",noun
아가씨,"miss, young lady",noun
소녀,young girl (teenage),noun
